exercise_id,exercise_start,exercise_end,utc_offset,exercise_created,exercise_last_updated,activity_name,log_type,pool_length,pool_length_unit,intervals,distance_units,tracker_total_calories,tracker_total_steps,tracker_total_distance_mm,tracker_total_altitude_mm,tracker_avg_heart_rate,tracker_peak_heart_rate,tracker_avg_pace_mm_per_second,tracker_avg_speed_mm_per_second,tracker_peak_speed_mm_per_second,tracker_auto_stride_run_mm,tracker_auto_stride_walk_mm,tracker_swim_lengths,tracker_pool_length,tracker_pool_length_unit,tracker_cardio_load,manually_logged_total_calories,manually_logged_total_steps,manually_logged_total_distance_mm,manually_logged_pool_length,manually_logged_pool_length_unit,events
1021106119538553616,2025-07-31 00:09:10+0000,2025-07-31 00:39:40+0000,+07:00,2025-07-31 00:09:16+0000,2025-07-31 00:39:54+0000,Workout,TRACKER,0,UNSPECIFIED,,METRIC,301,0,410367,0,135,154,0,0,0,0,0,0,0,UNSPECIFIED,43.61,,,,,,"[ExerciseEventId: 2242593319202359032, Timestamp: 2025-07-31 00:39:40+0000, Type: SPLIT, AutoCueType: UNSPECIFIED, ElapsedTimeMillis: 1830275, TraveledDistanceMm: 410367, CaloriesBurned: 300, Steps: 0, AverageHeartRate: 135, ElevationGainMm: 0, SwimLengths: 0, AverageSpeedMmPerSec: 0, IntervalType: UNSPECIFIED]"
11486781872416720,2025-07-17 08:59:07+0000,2025-07-17 09:20:06+0000,+07:00,2025-07-17 09:20:09+0000,2025-07-17 09:20:09+0000,Structured Workout,TRACKER,0,UNSPECIFIED,,UNSPECIFIED,208,3580,2654939,0,121,0,0,2113,2685,0,0,0,0,UNSPECIFIED,18.78,,,,,,
1159151322503810504,2025-04-25 15:56:18+0000,2025-04-25 16:29:35+0000,-05:00,2025-04-25 16:46:44+0000,2025-04-25 16:46:44+0000,Outdoor Walk,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,
1235260516256002864,2025-05-30 22:55:39+0000,2025-05-31 00:29:31+0000,+07:00,2025-05-31 00:29:34+0000,2025-05-31 00:29:34+0000,Structured Workout,TRACKER,0,UNSPECIFIED,,UNSPECIFIED,1060,15450,12111621,4979,143,0,0,2151,3054,0,0,0,0,UNSPECIFIED,160.73,,,,,,
1273963671173526856,2025-06-14 23:19:50+0000,2025-06-15 00:24:35+0000,+07:00,2025-06-15 00:24:37+0000,2025-06-15 00:24:37+0000,Structured Workout,TRACKER,0,UNSPECIFIED,,UNSPECIFIED,676,9572,8100381,121763,143,0,0,2086,3219,0,0,0,0,UNSPECIFIED,107.4,,,,,,
134794391383526208,2024-10-22 16:46:50+0000,2024-10-22 17:39:43+0000,-05:00,2024-10-22 17:02:24+0000,2024-10-22 17:39:55+0000,Workout,TRACKER,0,UNSPECIFIED,,IMPERIAL,493,0,324730,0,136,162,0,0,0,0,0,0,0,UNSPECIFIED,75.79,,,,,,"[ExerciseEventId: 4127731421630536976, Timestamp: 2024-10-22 17:39:43+0000, Type: SPLIT, AutoCueType: UNSPECIFIED, ElapsedTimeMillis: 3173134, TraveledDistanceMm: 324730, CaloriesBurned: 493, Steps: 0, AverageHeartRate: 136, ElevationGainMm: 0, SwimLengths: 0, AverageSpeedMmPerSec: 0, IntervalType: UNSPECIFIED]"
1465845086267748504,2025-03-04 18:12:29+0000,2025-03-04 19:22:27+0000,-06:00,2025-03-04 18:13:53+0000,2025-03-04 19:22:49+0000,Workout,TRACKER,0,UNSPECIFIED,,IMPERIAL,584,0,695986,0,127,159,0,0,0,0,0,0,0,UNSPECIFIED,79.23,,,,,,"[ExerciseEventId: 5065407102237413136, Timestamp: 2025-03-04 19:22:27+0000, Type: SPLIT, AutoCueType: UNSPECIFIED, ElapsedTimeMillis: 4198459, TraveledDistanceMm: 695986, CaloriesBurned: 584, Steps: 0, AverageHeartRate: 127, ElevationGainMm: 0, SwimLengths: 0, AverageSpeedMmPerSec: 0, IntervalType: UNSPECIFIED]"
1478628863765254872,2025-04-08 23:53:44+0000,2025-04-09 01:04:37+0000,-05:00,2025-04-09 00:21:17+0000,2025-04-09 01:04:40+0000,Workout,TRACKER,0,UNSPECIFIED,,IMPERIAL,529,0,630551,0,124,156,0,0,0,0,0,0,0,UNSPECIFIED,70.5,,,,,,"[ExerciseEventId: 2753556235282365696, Timestamp: 2025-04-09 01:04:37+0000, Type: SPLIT, AutoCueType: UNSPECIFIED, ElapsedTimeMillis: 4253618, TraveledDistanceMm: 630551, CaloriesBurned: 529, Steps: 0, AverageHeartRate: 124, ElevationGainMm: 0, SwimLengths: 0, AverageSpeedMmPerSec: 0, IntervalType: UNSPECIFIED]"
1482065463187053192,2025-07-25 00:07:05+0000,2025-07-25 00:48:24+0000,+07:00,2025-07-25 00:48:28+0000,2025-07-25 00:48:28+0000,Structured Workout,TRACKER,0,UNSPECIFIED,,UNSPECIFIED,281,4365,3148790,0,110,0,0,1570,2533,0,0,0,0,UNSPECIFIED,23.73,,,,,,
1539163346025262952,2024-10-31 11:39:20+0000,2024-10-31 11:59:10+0000,-05:00,2024-10-31 11:59:12+0000,2024-10-31 11:59:12+0000,Structured Workout,TRACKER,0,UNSPECIFIED,,UNSPECIFIED,248,3403,3278832,4746,152,0,0,2757,3746,0,0,0,0,UNSPECIFIED,46.26,,,,,,
1562180042881867568,2025-07-02 08:20:22+0000,2025-07-02 10:08:45+0000,+07:00,2025-07-02 08:31:06+0000,2025-07-02 10:09:00+0000,Workout,TRACKER,0,UNSPECIFIED,,IMPERIAL,608,0,1727587,0,111,147,0,0,0,0,0,0,0,YARD,58.59,,,,,,"[ExerciseEventId: 5401476137209003744, Timestamp: 2025-07-02 10:08:45+0000, Type: SPLIT, AutoCueType: UNSPECIFIED, ElapsedTimeMillis: 2165601, TraveledDistanceMm: 117718, CaloriesBurned: 86, Steps: 0, AverageHeartRate: 94, ElevationGainMm: 0, SwimLengths: 0, AverageSpeedMmPerSec: 0, IntervalType: UNSPECIFIED],[ExerciseEventId: 8861974026379121824, Timestamp: 2025-07-02 09:32:40+0000, Type: SPLIT, AutoCueType: UNSPECIFIED, ElapsedTimeMillis: 4338249, TraveledDistanceMm: 1609869, CaloriesBurned: 516, Steps: 0, AverageHeartRate: 119, ElevationGainMm: 0, SwimLengths: 0, AverageSpeedMmPerSec: 0, IntervalType: UNSPECIFIED]"
1588319545482631552,2025-03-01 01:10:05+0000,2025-03-01 02:03:46+0000,-06:00,2025-03-01 01:22:35+0000,2025-03-01 02:03:59+0000,Workout,TRACKER,0,UNSPECIFIED,,IMPERIAL,446,0,298250,0,127,155,0,0,0,0,0,0,0,UNSPECIFIED,57.76,,,,,,"[ExerciseEventId: 4048482704276967752, Timestamp: 2025-03-01 02:03:46+0000, Type: SPLIT, AutoCueType: UNSPECIFIED, ElapsedTimeMillis: 3221536, TraveledDistanceMm: 298250, CaloriesBurned: 445, Steps: 0, AverageHeartRate: 127, ElevationGainMm: 0, SwimLengths: 0, AverageSpeedMmPerSec: 0, IntervalType: UNSPECIFIED]"
1608515819048165728,2025-07-08 08:47:17+0000,2025-07-08 09:39:53+0000,+07:00,2025-07-08 09:19:22+0000,2025-07-08 09:40:07+0000,Workout,TRACKER,0,UNSPECIFIED,,IMPERIAL,311,0,1073645,0,109,142,0,0,0,0,0,0,0,YARD,25.62,,,,,,"[ExerciseEventId: 6413533574697321168, Timestamp: 2025-07-08 09:39:53+0000, Type: SPLIT, AutoCueType: UNSPECIFIED, ElapsedTimeMillis: 3156457, TraveledDistanceMm: 1073645, CaloriesBurned: 310, Steps: 0, AverageHeartRate: 109, ElevationGainMm: 0, SwimLengths: 0, AverageSpeedMmPerSec: 0, IntervalType: UNSPECIFIED]"
1617214858889755336,2025-04-10 13:58:19+0000,2025-04-10 14:45:33+0000,-07:00,2025-04-10 14:45:51+0000,2025-04-10 14:45:51+0000,Outdoor Walk,TRACKER,0,UNSPECIFIED,,IMPERIAL,295,4036,3017535,21945,101,126,0,0,0,0,0,0,0,UNSPECIFIED,10.21,,,,,,"[ExerciseEventId: 3090503998515166560, Timestamp: 2025-04-10 14:19:40+0000, Type: SPLIT, AutoCueType: UNSPECIFIED, ElapsedTimeMillis: 1281238, TraveledDistanceMm: 1610490, CaloriesBurned: 137, Steps: 2099, AverageHeartRate: 101, ElevationGainMm: 3657, SwimLengths: 0, AverageSpeedMmPerSec: 0, IntervalType: UNSPECIFIED],[ExerciseEventId: 7857470806721442520, Timestamp: 2025-04-10 14:45:33+0000, Type: SPLIT, AutoCueType: UNSPECIFIED, ElapsedTimeMillis: 1552059, TraveledDistanceMm: 1407044, CaloriesBurned: 149, Steps: 1934, AverageHeartRate: 101, ElevationGainMm: 3048, SwimLengths: 0, AverageSpeedMmPerSec: 0, IntervalType: UNSPECIFIED]"
1749871915088094168,2025-07-23 08:48:03+0000,2025-07-23 09:51:12+0000,+07:00,2025-07-23 09:06:05+0000,2025-07-23 09:51:27+0000,Workout,TRACKER,0,UNSPECIFIED,,METRIC,479,0,864398,0,119,148,0,0,0,0,0,0,0,YARD,54.67,,,,,,"[ExerciseEventId: 26861573714281096, Timestamp: 2025-07-23 09:51:12+0000, Type: SPLIT, AutoCueType: UNSPECIFIED, ElapsedTimeMillis: 3789143, TraveledDistanceMm: 864398, CaloriesBurned: 478, Steps: 0, AverageHeartRate: 119, ElevationGainMm: 0, SwimLengths: 0, AverageSpeedMmPerSec: 0, IntervalType: UNSPECIFIED]"
1753754715746949800,2025-06-28 23:50:23+0000,2025-06-29 00:48:00+0000,+07:00,2025-06-29 00:05:25+0000,2025-06-29 00:48:14+0000,Workout,TRACKER,0,UNSPECIFIED,,IMPERIAL,298,0,1076718,0,110,139,0,0,0,0,0,0,0,YARD,20.88,,,,,,"[ExerciseEventId: 499218071614984832, Timestamp: 2025-06-29 00:48:00+0000, Type: SPLIT, AutoCueType: UNSPECIFIED, ElapsedTimeMillis: 3456892, TraveledDistanceMm: 1076718, CaloriesBurned: 298, Steps: 0, AverageHeartRate: 110, ElevationGainMm: 0, SwimLengths: 0, AverageSpeedMmPerSec: 0, IntervalType: UNSPECIFIED]"
1823043397589529160,2025-08-08 00:40:17+0000,2025-08-08 00:58:02+0000,+07:00,2025-08-08 00:58:06+0000,2025-08-08 00:58:06+0000,Structured Workout,TRACKER,0,UNSPECIFIED,,UNSPECIFIED,119,1555,1193382,0,132,0,0,1821,3220,0,0,0,0,UNSPECIFIED,14.94,,,,,,
1921305986565953064,2024-12-27 13:07:04+0000,2024-12-27 13:30:07+0000,-06:00,2024-12-27 13:52:12+0000,2024-12-27 13:52:12+0000,Aerobic Workout,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,
202061966511096200,2025-08-04 23:51:14+0000,2025-08-05 00:00:27+0000,+07:00,2025-08-05 00:00:31+0000,2025-08-05 00:00:31+0000,Structured Workout,TRACKER,0,UNSPECIFIED,,UNSPECIFIED,99,1493,1163854,1233,138,0,0,2191,3538,0,0,0,0,UNSPECIFIED,13.66,,,,,,
2060662504160427624,2025-05-13 23:23:04+0000,2025-05-14 00:23:19+0000,+07:00,2025-05-13 23:38:40+0000,2025-05-14 00:27:58+0000,Workout,TRACKER,0,UNSPECIFIED,,IMPERIAL,425,0,518221,0,122,151,0,0,0,0,0,0,0,YARD,49.51,,,,,,"[ExerciseEventId: 8592940736884235520, Timestamp: 2025-05-14 00:23:19+0000, Type: SPLIT, AutoCueType: UNSPECIFIED, ElapsedTimeMillis: 3615266, TraveledDistanceMm: 518221, CaloriesBurned: 424, Steps: 0, AverageHeartRate: 122, ElevationGainMm: 0, SwimLengths: 0, AverageSpeedMmPerSec: 0, IntervalType: UNSPECIFIED]"
2115451303005241168,2025-07-07 23:05:59+0000,2025-07-07 23:40:41+0000,+07:00,2025-07-07 23:40:47+0000,2025-07-07 23:40:47+0000,Structured Workout,TRACKER,0,UNSPECIFIED,,UNSPECIFIED,378,5906,4517620,4048,138,0,0,2171,2838,0,0,0,0,UNSPECIFIED,53.18,,,,,,
2128645887217932408,2025-04-29 16:47:07+0000,2025-04-29 17:54:53+0000,-05:00,2025-04-29 16:49:48+0000,2025-04-29 18:12:27+0000,Workout,TRACKER,0,UNSPECIFIED,,IMPERIAL,575,0,496749,0,131,160,0,0,0,0,0,0,0,YARD,84.79,,,,,,"[ExerciseEventId: 1121575114012390664, Timestamp: 2025-04-29 17:54:53+0000, Type: SPLIT, AutoCueType: UNSPECIFIED, ElapsedTimeMillis: 4066324, TraveledDistanceMm: 496748, CaloriesBurned: 575, Steps: 0, AverageHeartRate: 131, ElevationGainMm: 0, SwimLengths: 0, AverageSpeedMmPerSec: 0, IntervalType: UNSPECIFIED]"
2165432720342328776,2025-07-19 20:32:30+0000,2025-07-19 23:25:04+0000,+07:00,2025-07-19 23:50:12+0000,2025-07-19 23:50:12+0000,Structured Workout,TRACKER,0,UNSPECIFIED,,UNSPECIFIED,1817,24367,18192968,32012,149,0,0,2067,3298,0,0,0,0,UNSPECIFIED,314.77,,,,,,
2177556166881399784,2025-02-11 12:22:34+0000,2025-02-11 12:54:15+0000,-06:00,2025-02-11 12:26:13+0000,2025-02-11 12:54:27+0000,Workout,TRACKER,0,UNSPECIFIED,,IMPERIAL,277,0,71791,0,127,156,0,0,0,0,0,0,0,UNSPECIFIED,34.46,,,,,,"[ExerciseEventId: 4425309077645487384, Timestamp: 2025-02-11 12:54:15+0000, Type: SPLIT, AutoCueType: UNSPECIFIED, ElapsedTimeMillis: 1901164, TraveledDistanceMm: 71791, CaloriesBurned: 277, Steps: 0, AverageHeartRate: 127, ElevationGainMm: 0, SwimLengths: 0, AverageSpeedMmPerSec: 0, IntervalType: UNSPECIFIED]"
222312805909400424,2025-07-16 08:55:07+0000,2025-07-16 09:21:04+0000,+07:00,2025-07-16 09:09:33+0000,2025-07-16 10:04:12+0000,Workout,TRACKER,0,UNSPECIFIED,,IMPERIAL,176,0,861004,0,108,124,0,0,0,0,0,0,0,YARD,12.75,,,,,,"[ExerciseEventId: 6076246922161303528, Timestamp: 2025-07-16 09:21:04+0000, Type: SPLIT, AutoCueType: UNSPECIFIED, ElapsedTimeMillis: 1557416, TraveledDistanceMm: 861004, CaloriesBurned: 176, Steps: 0, AverageHeartRate: 108, ElevationGainMm: 0, SwimLengths: 0, AverageSpeedMmPerSec: 0, IntervalType: UNSPECIFIED]"
2231590973841491208,2024-12-31 12:31:30+0000,2024-12-31 13:04:52+0000,-06:00,2024-12-31 12:46:37+0000,2024-12-31 13:05:05+0000,Martial Arts,TRACKER,0,UNSPECIFIED,,IMPERIAL,270,0,0,0,126,168,0,0,0,0,0,0,0,UNSPECIFIED,42.94,,,,,,
2232733205045235712,2024-11-26 20:12:01+0000,2024-11-26 21:33:59+0000,-06:00,2024-11-26 20:25:42+0000,2024-11-26 21:34:14+0000,Workout,TRACKER,0,UNSPECIFIED,,IMPERIAL,813,0,244247,0,138,162,0,0,0,0,0,0,0,UNSPECIFIED,120.28,,,,,,"[ExerciseEventId: 4842079165173682712, Timestamp: 2024-11-26 21:33:59+0000, Type: SPLIT, AutoCueType: UNSPECIFIED, ElapsedTimeMillis: 4917656, TraveledDistanceMm: 244247, CaloriesBurned: 812, Steps: 0, AverageHeartRate: 138, ElevationGainMm: 0, SwimLengths: 0, AverageSpeedMmPerSec: 0, IntervalType: UNSPECIFIED]"
229181226094957688,2025-07-30 00:46:29+0000,2025-07-30 01:19:40+0000,+07:00,2025-07-30 01:19:44+0000,2025-07-30 01:19:44+0000,Structured Workout,TRACKER,0,UNSPECIFIED,,UNSPECIFIED,218,1844,1400767,1403,116,0,1,711,2715,0,0,0,0,UNSPECIFIED,23.97,,,,,,
2402837128792478920,2024-11-08 21:47:26+0000,2024-11-08 22:34:27+0000,-06:00,2024-11-08 21:54:09+0000,2024-11-08 22:34:45+0000,Workout,TRACKER,0,UNSPECIFIED,,IMPERIAL,367,0,257048,0,121,158,0,0,0,0,0,0,0,UNSPECIFIED,43.89,,,,,,"[ExerciseEventId: 5301127298690278072, Timestamp: 2024-11-08 22:34:27+0000, Type: SPLIT, AutoCueType: UNSPECIFIED, ElapsedTimeMillis: 2820695, TraveledDistanceMm: 257048, CaloriesBurned: 366, Steps: 0, AverageHeartRate: 121, ElevationGainMm: 0, SwimLengths: 0, AverageSpeedMmPerSec: 0, IntervalType: UNSPECIFIED]"
2524672447491701152,2025-07-31 00:41:53+0000,2025-07-31 00:56:27+0000,+07:00,2025-07-31 00:56:30+0000,2025-07-31 00:56:30+0000,Structured Workout,TRACKER,0,UNSPECIFIED,,UNSPECIFIED,157,1688,1244359,0,135,0,0,1469,2644,0,0,0,0,UNSPECIFIED,22.04,,,,,,
253896409908955112,2025-08-06 00:35:25+0000,2025-08-06 00:45:59+0000,+07:00,2025-08-06 00:46:00+0000,2025-08-06 00:46:00+0000,Structured Workout,TRACKER,0,UNSPECIFIED,,UNSPECIFIED,112,1744,1371642,0,145,0,0,2166,2882,0,0,0,0,UNSPECIFIED,17.82,,,,,,
2608926144872647640,2024-11-04 20:25:21+0000,2024-11-04 21:17:08+0000,-06:00,2024-11-04 20:42:29+0000,2024-11-04 21:17:33+0000,Workout,TRACKER,0,UNSPECIFIED,,IMPERIAL,325,0,179162,0,114,140,0,0,0,0,0,0,0,UNSPECIFIED,34.44,,,,,,"[ExerciseEventId: 6757136949731288328, Timestamp: 2024-11-04 21:17:08+0000, Type: SPLIT, AutoCueType: UNSPECIFIED, ElapsedTimeMillis: 3106276, TraveledDistanceMm: 179162, CaloriesBurned: 324, Steps: 0, AverageHeartRate: 114, ElevationGainMm: 0, SwimLengths: 0, AverageSpeedMmPerSec: 0, IntervalType: UNSPECIFIED]"
2616178974901377160,2025-02-06 16:09:30+0000,2025-02-06 16:45:47+0000,-06:00,2025-02-06 16:25:23+0000,2025-02-06 16:46:02+0000,Workout,TRACKER,0,UNSPECIFIED,,IMPERIAL,224,0,103375,0,114,146,0,0,0,0,0,0,0,UNSPECIFIED,24.22,,,,,,"[ExerciseEventId: 6767272030454412608, Timestamp: 2025-02-06 16:45:47+0000, Type: SPLIT, AutoCueType: UNSPECIFIED, ElapsedTimeMillis: 2177132, TraveledDistanceMm: 103375, CaloriesBurned: 224, Steps: 0, AverageHeartRate: 114, ElevationGainMm: 0, SwimLengths: 0, AverageSpeedMmPerSec: 0, IntervalType: UNSPECIFIED]"
2631692982679228592,2025-02-27 23:49:27+0000,2025-02-28 00:17:37+0000,-06:00,2025-02-28 00:49:06+0000,2025-02-28 00:49:06+0000,Outdoor Walk,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,
2727624134913138704,2025-08-06 23:59:30+0000,2025-08-07 00:35:09+0000,+07:00,2025-08-06 23:59:36+0000,2025-08-07 00:40:11+0000,Workout,TRACKER,0,UNSPECIFIED,,METRIC,295,0,573320,0,127,157,0,0,0,0,0,0,0,UNSPECIFIED,37.67,,,,,,"[ExerciseEventId: 1053595777599925120, Timestamp: 2025-08-07 00:35:09+0000, Type: SPLIT, AutoCueType: UNSPECIFIED, ElapsedTimeMillis: 2139405, TraveledDistanceMm: 573320, CaloriesBurned: 294, Steps: 0, AverageHeartRate: 127, ElevationGainMm: 0, SwimLengths: 0, AverageSpeedMmPerSec: 0, IntervalType: UNSPECIFIED]"
2779014104471508584,2025-04-29 00:51:26+0000,2025-04-29 01:58:19+0000,-05:00,2025-04-29 00:53:47+0000,2025-04-29 01:58:32+0000,Workout,TRACKER,0,UNSPECIFIED,,IMPERIAL,376,0,430952,0,115,146,0,0,0,0,0,0,0,YARD,38.94,,,,,,"[ExerciseEventId: 9177725303263831344, Timestamp: 2025-04-29 01:58:19+0000, Type: SPLIT, AutoCueType: UNSPECIFIED, ElapsedTimeMillis: 4013883, TraveledDistanceMm: 430951, CaloriesBurned: 375, Steps: 0, AverageHeartRate: 114, ElevationGainMm: 0, SwimLengths: 0, AverageSpeedMmPerSec: 0, IntervalType: UNSPECIFIED]"
