timestamp,full_sleep_breathing_rate,full_sleep_standard_deviation,full_sleep_signal_to_noise,deep_sleep_breathing_rate,deep_sleep_standard_deviation,deep_sleep_signal_to_noise,light_sleep_breathing_rate,light_sleep_standard_deviation,light_sleep_signal_to_noise,rem_sleep_breathing_rate,rem_sleep_standard_deviation,rem_sleep_signal_to_noise
2024-11-01T04:47:00,13.8,1.1,9.22,13.8,1.1,9.22,13.6,1.2,5.486,15.2,2.8,3.167
2024-11-02T05:06:30,14.0,1.5,9.456,-1.0,0.0,0.0,14.0,1.5,9.456,0.6,0.4,2.646
2024-11-03T07:21:30,14.2,1.4,9.316,14.0,0.6,2.768,14.2,1.4,9.316,14.6,2.1,3.948
2024-11-05T02:02:00,13.4,1.5,5.113,12.8,0.5,2.74,13.4,1.5,5.113,14.0,0.6,4.145
2024-11-05T04:38:30,13.8,1.0,5.481,13.8,1.0,5.481,13.4,1.7,6.372,14.0,0.6,3.742
2024-11-07T01:14:30,13.8,1.0,7.226,-1.0,0.0,0.0,13.8,1.0,7.226,-1.0,0.0,2.48
2024-11-07T05:31:00,13.2,1.0,5.667,15.4,1.5,3.315,13.2,1.0,5.667,-1.0,0.0,1.926
2024-11-08T04:58:30,13.0,1.3,8.09,13.8,1.1,3.525,13.0,1.3,8.09,13.2,0.6,3.591
2024-11-13T04:47:00,14.0,1.9,4.061,-1.0,0.0,2.421,14.0,1.9,4.061,9.6,0.5,2.632
2024-11-14T04:39:30,13.8,1.9,5.959,18.2,0.7,3.759,13.8,1.9,5.959,0.4,0.3,2.695
2024-11-19T04:44:30,14.8,2.2,5.54,15.0,1.1,3.146,14.8,2.2,5.54,11.6,0.6,3.779
2024-11-20T04:45:30,14.2,1.1,6.554,14.2,1.1,6.554,13.8,1.6,6.347,12.8,0.6,3.709
2024-11-22T01:37:30,14.4,0.6,6.901,-1.0,0.0,0.0,14.4,0.6,6.901,13.8,0.5,2.641
2024-11-23T02:00:30,14.8,0.9,6.066,14.8,0.9,6.066,14.0,2.0,7.173,0.6,0.4,2.578
2024-11-25T04:51:30,13.6,1.3,12.285,-1.0,0.0,2.119,13.6,1.3,12.285,-1.0,0.0,1.77
2024-11-26T04:54:30,14.4,1.2,4.542,14.4,1.2,4.542,14.4,1.2,7.096,15.2,0.8,5.129
2024-11-27T04:54:30,14.2,1.4,6.703,14.2,1.4,6.703,13.8,2.0,11.705,13.4,0.7,3.027
2024-11-29T06:21:30,14.8,2.5,5.43,24.6,0.3,2.528,14.8,2.5,5.43,-1.0,0.0,2.03
2024-11-30T06:16:30,12.0,0.9,4.215,12.0,0.9,4.215,13.8,1.6,4.669,13.6,2.4,4.829